dt64,id,river_km_id,datetime,water_perc,ice_perc,other_perc,cloud_perc,nd_perc,qc,source
2016-12-13 05:56:25,1872798,348872,2016-12-13T05:56:25,93,4,0,0,3,low quality,Sentinel-1
2016-12-14 10:44:35,1872799,348872,2016-12-14T10:44:35,97,1,0,0,2,low quality,Sentinel-1 Sentinel-2
2016-12-18 17:19:27,1872800,348872,2016-12-18T17:19:27,90,8,0,0,2,low quality,Sentinel-1
2016-12-19 05:55:40,1872801,348872,2016-12-19T05:55:40,91,5,0,0,4,low quality,Sentinel-1
2016-12-19 17:10:47,1872802,348872,2016-12-19T17:10:47,89,8,0,0,3,low quality,Sentinel-1
2016-12-20 05:48:02,1872803,348872,2016-12-20T05:48:02,96,2,0,0,2,low quality,Sentinel-1
2016-12-24 17:18:35,1872804,348872,2016-12-24T17:18:35,97,0,0,0,3,low quality,Sentinel-1 Sentinel-2
2016-12-25 05:56:23,1872805,348872,2016-12-25T05:56:23,78,20,0,0,2,low quality,Sentinel-1
2016-12-26 05:47:22,1872806,348872,2016-12-26T05:47:22,97,0,0,0,3,low quality,Sentinel-1
2016-12-30 17:19:27,1872807,348872,2016-12-30T17:19:27,97,0,0,0,3,low quality,Sentinel-1
2016-12-31 05:55:39,1872808,348872,2016-12-31T05:55:39,89,8,0,0,3,low quality,Sentinel-1
2016-12-31 17:10:50,1872809,348872,2016-12-31T17:10:50,94,3,0,0,3,low quality,Sentinel-1
2017-01-01 05:48:00,1872810,348872,2017-01-01T05:48:00,97,1,0,0,2,low quality,Sentinel-1
2017-01-05 17:18:33,1872811,348872,2017-01-05T17:18:33,97,1,0,0,2,low quality,Sentinel-1
2017-01-06 05:56:23,1872812,348872,2017-01-06T05:56:23,79,17,0,0,4,low quality,Sentinel-1
2017-01-07 05:47:20,1872813,348872,2017-01-07T05:47:20,97,1,0,0,2,low quality,Sentinel-1
2017-01-11 17:19:26,1872814,348872,2017-01-11T17:19:26,97,0,0,0,3,low quality,Sentinel-1
2017-01-12 17:10:48,1872815,348872,2017-01-12T17:10:48,97,1,0,0,2,low quality,Sentinel-1 Sentinel-2
