dt64,id,river_km_id,datetime,water_perc,ice_perc,other_perc,cloud_perc,nd_perc,qc,source
2016-12-18 17:19:27,3616221,377780,2016-12-18T17:19:27,87,12,0,0,1,2,Sentinel-1
2016-12-19 05:55:40,3616222,377780,2016-12-19T05:55:40,77,21,0,0,2,2,Sentinel-1
2016-12-19 17:10:47,3616223,377780,2016-12-19T17:10:47,85,13,0,0,2,2,Sentinel-1
2016-12-20 05:48:02,3616224,377780,2016-12-20T05:48:02,92,6,0,0,2,2,Sentinel-1
2016-12-24 17:18:35,3616225,377780,2016-12-24T17:18:35,97,2,0,0,1,2,Sentinel-1 Sentinel-2
2016-12-25 05:56:23,3616226,377780,2016-12-25T05:56:23,61,38,0,0,1,2,Sentinel-1
2016-12-26 05:47:22,3616227,377780,2016-12-26T05:47:22,98,1,0,0,1,2,Sentinel-1
2016-12-30 17:19:27,3616228,377780,2016-12-30T17:19:27,97,2,0,0,1,2,Sentinel-1
2016-12-31 05:55:39,3616229,377780,2016-12-31T05:55:39,93,6,0,0,1,2,Sentinel-1
2016-12-31 17:10:50,3616230,377780,2016-12-31T17:10:50,91,7,0,0,2,2,Sentinel-1
2017-01-01 05:48:00,3616231,377780,2017-01-01T05:48:00,96,3,0,0,1,2,Sentinel-1
2017-01-05 17:18:33,3616232,377780,2017-01-05T17:18:33,95,4,0,0,1,2,Sentinel-1
2017-01-06 05:56:23,3616233,377780,2017-01-06T05:56:23,50,49,0,0,1,2,Sentinel-1
2017-01-07 05:47:20,3616234,377780,2017-01-07T05:47:20,94,5,0,0,1,2,Sentinel-1
2017-01-11 17:19:26,3616235,377780,2017-01-11T17:19:26,98,1,0,0,1,2,Sentinel-1
2017-01-12 17:10:48,3616236,377780,2017-01-12T17:10:48,95,4,0,0,1,2,Sentinel-1 Sentinel-2
2017-01-13 17:03:29,3616237,377780,2017-01-13T17:03:29,95,4,0,0,1,2,Sentinel-1 Sentinel-2
2017-01-16 16:38:15,3616238,377780,2017-01-16T16:38:15,2,26,0,69,3,0,Sentinel-1 Sentinel-2
2017-01-17 17:18:55,3616239,377780,2017-01-17T17:18:55,93,5,0,0,2,2,Sentinel-1
2017-01-18 05:56:22,3616240,377780,2017-01-18T05:56:22,26,72,0,0,2,2,Sentinel-1
2017-01-19 17:02:31,3616241,377780,2017-01-19T17:02:31,98,0,0,0,2,2,Sentinel-1 Sentinel-2
2017-01-23 17:19:26,3616242,377780,2017-01-23T17:19:26,91,7,0,0,2,2,Sentinel-1
2017-01-24 05:55:37,3616243,377780,2017-01-24T05:55:37,85,13,0,0,2,2,Sentinel-1
2017-01-24 17:10:45,3616244,377780,2017-01-24T17:10:45,89,9,0,0,2,2,Sentinel-1
2017-01-25 05:47:59,3616245,377780,2017-01-25T05:47:59,91,7,0,0,2,2,Sentinel-1
2017-01-26 16:54:35,3616246,377780,2017-01-26T16:54:35,6,54,1,38,1,0,Sentinel-1 Sentinel-2
2017-01-29 17:18:55,3616247,377780,2017-01-29T17:18:55,90,9,0,0,1,2,Sentinel-1 Sentinel-2
2017-01-30 10:32:49,3616248,377780,2017-01-30T10:32:49,57,42,0,0,1,2,Sentinel-1 Sentinel-2
2017-01-31 05:47:20,3616249,377780,2017-01-31T05:47:20,86,12,0,0,2,2,Sentinel-1
2017-02-04 17:19:24,3616250,377780,2017-02-04T17:19:24,88,11,0,0,1,2,Sentinel-1 Sentinel-2
2017-02-05 17:10:45,3616251,377780,2017-02-05T17:10:45,77,21,0,0,2,2,Sentinel-1 Sentinel-2
